Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2018.09.13GBPRICS House Price Balance,9/13/18 0:01,FALSE,RICS House Price Balance,GBP,1,2%,4%
2018.09.13JPYCore Machinery Orders m m,9/13/18 0:50,FALSE,Core Machinery Orders m/m,JPY,1,5.6%,-8.8%
2018.09.13JPYPPI y y,9/13/18 0:50,FALSE,PPI y/y,JPY,1,3.1%,3.0%
2018.09.13AUDMI Inflation Expectations,9/13/18 2:00,FALSE,MI Inflation Expectations,AUD,1," ",4.0%
2018.09.13AUDEmployment Change,9/13/18 2:30,FALSE,Employment Change,AUD,3,16.5K,-4.3K
2018.09.13AUDUnemployment Rate,9/13/18 2:30,FALSE,Unemployment Rate,AUD,3,5.3%,5.3%
2018.09.13EURGerman Final CPI m m,9/13/18 7:00,FALSE,German Final CPI m/m,EUR,1,0.1%,0.1%
2018.09.13EURFrench Final CPI m m,9/13/18 7:45,FALSE,French Final CPI m/m,EUR,1,0.5%,0.5%
2018.09.13CNYForeign Direct Investment ytd y,9/13/18 8:00,FALSE,Foreign Direct Investment ytd/y,CNY,1," ",2.3%
2018.09.13CHFPPI m m,9/13/18 8:15,FALSE,PPI m/m,CHF,1,0.0%,0.1%
2018.09.13GBPAsset Purchase Facility,9/13/18 12:00,FALSE,Asset Purchase Facility,GBP,1,435B,435B
2018.09.13GBPMPC Asset Purchase Facility Votes,9/13/18 12:00,FALSE,MPC Asset Purchase Facility Votes,GBP,1,0-0-9,0-0-9
2018.09.13GBPMPC Official Bank Rate Votes,9/13/18 12:00,FALSE,MPC Official Bank Rate Votes,GBP,3,0-0-9,9-0-0
2018.09.13GBPMonetary Policy Summary,9/13/18 12:00,FALSE,Monetary Policy Summary,GBP,3," "," "
2018.09.13GBPOfficial Bank Rate,9/13/18 12:00,FALSE,Official Bank Rate,GBP,2,0.75%,0.75%
2018.09.13EURMain Refinancing Rate,9/13/18 12:45,FALSE,Main Refinancing Rate,EUR,3,0.00%,0.00%
2018.09.13EURMonetary Policy Statement,9/13/18 12:45,FALSE,Monetary Policy Statement,EUR,3," "," "
2018.09.13CADNHPI m m,9/13/18 13:30,FALSE,NHPI m/m,CAD,2,0.1%,0.1%
2018.09.13EURECB Press Conference,9/13/18 13:30,FALSE,ECB Press Conference,EUR,3," "," "
2018.09.13USDCPI m m,9/13/18 13:30,FALSE,CPI m/m,USD,3,0.3%,0.2%
2018.09.13USDCPI y y,9/13/18 13:30,FALSE,CPI y/y,USD,3,2.8%,2.9%
2018.09.13USDCore CPI m m,9/13/18 13:30,FALSE,Core CPI m/m,USD,3,0.2%,0.2%
2018.09.13USDUnemployment Claims,9/13/18 13:30,FALSE,Unemployment Claims,USD,1,210K,205K
2018.09.13USDNatural Gas Storage,9/13/18 15:30,FALSE,Natural Gas Storage,USD,1,65B,63B
2018.09.13USDFOMC Member Bostic Speaks,9/13/18 18:00,FALSE,FOMC Member Bostic Speaks,USD,2," "," "
2018.09.13USD30-y Bond Auction,9/13/18 18:01,FALSE,30-y Bond Auction,USD,1," ",3.09|2.3
2018.09.13USDFederal Budget Balance,9/13/18 19:00,FALSE,Federal Budget Balance,USD,1,-169.8B,-76.9B
2018.09.13NZDBusinessNZ Manufacturing Index,9/13/18 23:30,FALSE,BusinessNZ Manufacturing Index,NZD,2," ",51.2

