Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2011.05.05AUDBuilding Approvals m m,5/5/11 2:30,FALSE,Building Approvals m/m,AUD,3,5.1%,-5.3%
2011.05.05AUDRetail Sales m m,5/5/11 2:30,FALSE,Retail Sales m/m,AUD,3,0.6%,0.8%
2011.05.05CHFForeign Currency Reserves,5/5/11 8:00,FALSE,Foreign Currency Reserves,CHF,3,,206B
2011.05.05NZDRBNZ Gov Bollard Speaks,5/5/11 8:45,FALSE,RBNZ Gov Bollard Speaks,NZD,2,,
2011.05.05GBPFinal Services PMI,5/5/11 9:30,FALSE,Final Services PMI,GBP,3,55.8,57.1
2011.05.05EURGerman Factory Orders m m,5/5/11 11:00,FALSE,German Factory Orders m/m,EUR,2,0.4%,1.9%
2011.05.05EURFrench 10-y Bond Auction,5/5/11 11:05,FALSE,French 10-y Bond Auction,EUR,2,,3.77|2.5
2011.05.05GBPAsset Purchase Facility,5/5/11 12:00,FALSE,Asset Purchase Facility,GBP,3,200B,200B
2011.05.05GBPOfficial Bank Rate,5/5/11 12:00,FALSE,Official Bank Rate,GBP,3,0.50%,0.50%
2011.05.05EURMain Refinancing Rate,5/5/11 12:45,FALSE,Main Refinancing Rate,EUR,3,1.25%,1.25%
2011.05.05CADBuilding Permits m m,5/5/11 13:30,FALSE,Building Permits m/m,CAD,3,-1.5%,9.8%
2011.05.05EURECB Press Conference,5/5/11 13:30,FALSE,ECB Press Conference,EUR,3,,
2011.05.05USDPrelim Nonfarm Productivity q q,5/5/11 13:30,FALSE,Prelim Nonfarm Productivity q/q,USD,2,1.1%,2.6%
2011.05.05USDPrelim Unit Labor Costs q q,5/5/11 13:30,FALSE,Prelim Unit Labor Costs q/q,USD,2,0.8%,-0.6%
2011.05.05USDUnemployment Claims,5/5/11 13:30,FALSE,Unemployment Claims,USD,3,415K,431K
2011.05.05USDFOMC Member Evans Speaks,5/5/11 14:15,FALSE,FOMC Member Evans Speaks,USD,2,,
2011.05.05USDFed Chairman Bernanke Speaks,5/5/11 14:23,FALSE,Fed Chairman Bernanke Speaks,USD,3,,
2011.05.05CADIvey PMI,5/5/11 15:00,FALSE,Ivey PMI,CAD,3,69.2,73.2
2011.05.05USDNatural Gas Storage,5/5/11 15:30,FALSE,Natural Gas Storage,USD,1,68B,31B
2011.05.05EURECB President Trichet Speaks,5/5/11 17:45,FALSE,ECB President Trichet Speaks,EUR,2,,
2011.05.05USDFOMC Member Kocherlakota Speaks,5/5/11 18:15,FALSE,FOMC Member Kocherlakota Speaks,USD,2,,

