Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2023.03.10GBPNIESR GDP Estimate,3/10/23 0:00,TRUE,NIESR GDP Estimate,GBP,1," ",0.1%
2023.03.10JPYBOJ Policy Rate,3/10/23 2:31,FALSE,BOJ Policy Rate,JPY,1,-0.10%,-0.10%
2023.03.10JPYMonetary Policy Statement,3/10/23 2:31,FALSE,Monetary Policy Statement,JPY,3," "," "
2023.03.10JPYBOJ Press Conference,3/10/23 6:30,FALSE,BOJ Press Conference,JPY,3," "," "
2023.03.10EURGerman Final CPI m m,3/10/23 7:00,FALSE,German Final CPI m/m,EUR,1,0.8%,0.8%
2023.03.10GBPConstruction Output m m,3/10/23 7:00,FALSE,Construction Output m/m,GBP,1,0.0%,0.0%
2023.03.10GBPGDP m m,3/10/23 7:00,FALSE,GDP m/m,GBP,3,0.1%,-0.5%
2023.03.10GBPGoods Trade Balance,3/10/23 7:00,FALSE,Goods Trade Balance,GBP,1,-17.5B,-19.3B
2023.03.10GBPIndex of Services 3m 3m,3/10/23 7:00,FALSE,Index of Services 3m/3m,GBP,1,-0.1%,0.0%
2023.03.10GBPIndustrial Production m m,3/10/23 7:00,FALSE,Industrial Production m/m,GBP,1,0.0%,0.3%
2023.03.10GBPManufacturing Production m m,3/10/23 7:00,FALSE,Manufacturing Production m/m,GBP,1,0.1%,0.0%
2023.03.10EURFrench Trade Balance,3/10/23 7:45,FALSE,French Trade Balance,EUR,1,-14.0B,-14.7B
2023.03.10CNYM2 Money Supply y y,3/10/23 8:30,FALSE,M2 Money Supply y/y,CNY,1,12.5%,12.6%
2023.03.10CNYNew Loans,3/10/23 8:30,FALSE,New Loans,CNY,2,1500B,4900B
2023.03.10CADCapacity Utilization Rate,3/10/23 13:30,FALSE,Capacity Utilization Rate,CAD,1,82.2%,82.6%
2023.03.10CADEmployment Change,3/10/23 13:30,FALSE,Employment Change,CAD,3,8.5K,150.0K
2023.03.10CADUnemployment Rate,3/10/23 13:30,FALSE,Unemployment Rate,CAD,3,5.1%,5.0%
2023.03.10USDAverage Hourly Earnings m m,3/10/23 13:30,FALSE,Average Hourly Earnings m/m,USD,3,0.3%,0.3%
2023.03.10USDNon-Farm Employment Change,3/10/23 13:30,FALSE,Non-Farm Employment Change,USD,3,224K,517K
2023.03.10USDUnemployment Rate,3/10/23 13:30,FALSE,Unemployment Rate,USD,3,3.4%,3.4%
2023.03.10USDFederal Budget Balance,3/10/23 19:00,FALSE,Federal Budget Balance,USD,1,-261.0B,-38.8B

