Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2018.01.15USDBank Holiday,1/15/18 0:00,TRUE,Bank Holiday,USD,4," "," "
2018.01.15GBPRightmove HPI m m,1/15/18 0:01,FALSE,Rightmove HPI m/m,GBP,1," ",-2.6%
2018.01.15AUDMI Inflation Gauge m m,1/15/18 0:29,FALSE,MI Inflation Gauge m/m,AUD,1," ",0.2%
2018.01.15JPYPrelim Machine Tool Orders y y,1/15/18 6:00,FALSE,Prelim Machine Tool Orders y/y,JPY,1," ",46.8%
2018.01.15EURTrade Balance,1/15/18 10:00,FALSE,Trade Balance,EUR,1,22.4B,19.0B
2018.01.15GBPMPC Member Tenreyro Speaks,1/15/18 18:15,FALSE,MPC Member Tenreyro Speaks,GBP,2," "," "
2018.01.15NZDNZIER Business Confidence,1/15/18 21:00,FALSE,NZIER Business Confidence,NZD,2," ",5
2018.01.15JPYPPI y y,1/15/18 23:50,FALSE,PPI y/y,JPY,1,3.3%,3.6%

