Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2011.05.27AllG8 Meetings,5/27/11 0:00,TRUE,G8 Meetings,All,2,,
2011.05.27EURGerman Prelim CPI m m,5/27/11 0:00,TRUE,German Prelim CPI m/m,EUR,2,0.1%,0.2%
2011.05.27GBPGfK Consumer Confidence,5/27/11 0:01,FALSE,GfK Consumer Confidence,GBP,2,-31,-31
2011.05.27JPYNational Core CPI y y,5/27/11 0:30,FALSE,National Core CPI y/y,JPY,1,0.6%,-0.1%
2011.05.27JPYTokyo Core CPI y y,5/27/11 0:30,FALSE,Tokyo Core CPI y/y,JPY,2,0.2%,0.2%
2011.05.27JPYRetail Sales y y,5/27/11 0:50,FALSE,Retail Sales y/y,JPY,2,-6.1%,-8.3%
2011.05.27GBPNationwide HPI m m,5/27/11 7:00,FALSE,Nationwide HPI m/m,GBP,3,0.1%,-0.2%
2011.05.27EURM3 Money Supply y y,5/27/11 9:00,FALSE,M3 Money Supply y/y,EUR,2,2.5%,2.3%
2011.05.27EURPrivate Loans y y,5/27/11 9:00,FALSE,Private Loans y/y,EUR,1,2.7%,2.5%
2011.05.27CHFKOF Economic Barometer,5/27/11 10:30,FALSE,KOF Economic Barometer,CHF,3,2.22,2.30
2011.05.27USDCore PCE Price Index m m,5/27/11 13:30,FALSE,Core PCE Price Index m/m,USD,2,0.2%,0.1%
2011.05.27USDPersonal Income m m,5/27/11 13:30,FALSE,Personal Income m/m,USD,1,0.4%,0.4%
2011.05.27USDPersonal Spending m m,5/27/11 13:30,FALSE,Personal Spending m/m,USD,2,0.5%,0.5%
2011.05.27USDRevised UoM Consumer Sentiment,5/27/11 14:55,FALSE,Revised UoM Consumer Sentiment,USD,2,72.5,72.4
2011.05.27USDRevised UoM Inflation Expectations,5/27/11 14:55,FALSE,Revised UoM Inflation Expectations,USD,1,,4.4%
2011.05.27USDPending Home Sales m m,5/27/11 15:00,FALSE,Pending Home Sales m/m,USD,3,-0.9%,3.5%
2011.05.27USDTreasury Currency Report,5/27/11 21:00,FALSE,Treasury Currency Report,USD,2,,

