Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2020.01.08AUDBuilding Approvals m m,1/8/20 0:30,FALSE,Building Approvals m/m,AUD,3,2.1%,-7.9%
2020.01.08JPYConsumer Confidence,1/8/20 5:02,FALSE,Consumer Confidence,JPY,1,39.6,38.7
2020.01.08EURGerman Factory Orders m m,1/8/20 7:00,FALSE,German Factory Orders m/m,EUR,1,0.2%,0.2%
2020.01.08EURFrench Trade Balance,1/8/20 7:45,FALSE,French Trade Balance,EUR,1,-5.0B,-4.9B
2020.01.08GBPHalifax HPI m m,1/8/20 8:30,FALSE,Halifax HPI m/m,GBP,1,0.6%,1.2%
2020.01.08EURGerman 10-y Bond Auction,1/8/20 10:36,FALSE,German 10-y Bond Auction,EUR,1," ",-0.33|1.9
2020.01.08USDADP Non-Farm Employment Change,1/8/20 13:15,FALSE,ADP Non-Farm Employment Change,USD,3,160K,124K
2020.01.08USDFOMC Member Brainard Speaks,1/8/20 15:00,FALSE,FOMC Member Brainard Speaks,USD,1," "," "
2020.01.08USDCrude Oil Inventories,1/8/20 15:30,FALSE,Crude Oil Inventories,USD,2,-3.4M,-11.5M
2020.01.08USDPresident Trump Speaks,1/8/20 16:26,FALSE,President Trump Speaks,USD,3," "," "
2020.01.08USD10-y Bond Auction,1/8/20 18:01,FALSE,10-y Bond Auction,USD,1," ",1.84|2.4
2020.01.08USDConsumer Credit m m,1/8/20 20:00,FALSE,Consumer Credit m/m,USD,1,15.5B,19.0B

