Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2013.02.19AUDMonetary Policy Meeting Minutes,2/19/13 0:30,FALSE,Monetary Policy Meeting Minutes,AUD,3," "," "
2013.02.19EURGerman ZEW Economic Sentiment,2/19/13 10:00,FALSE,German ZEW Economic Sentiment,EUR,3,35.3,31.5
2013.02.19EURZEW Economic Sentiment,2/19/13 10:00,FALSE,ZEW Economic Sentiment,EUR,2,35.5,31.2
2013.02.19CADForeign Securities Purchases,2/19/13 13:30,FALSE,Foreign Securities Purchases,CAD,2,7.21B,5.50B
2013.02.19CADWholesale Sales m m,2/19/13 13:30,FALSE,Wholesale Sales m/m,CAD,2,-0.4%,1.1%
2013.02.19NZDGDT Price Index,2/19/13 13:30,FALSE,GDT Price Index,NZD,1," ",4.2%
2013.02.19USDNAHB Housing Market Index,2/19/13 15:00,FALSE,NAHB Housing Market Index,USD,1,48,47
2013.02.19CHFSNB Chairman Jordan Speaks,2/19/13 17:15,FALSE,SNB Chairman Jordan Speaks,CHF,3," "," "
2013.02.19NZDPPI Input q q,2/19/13 21:45,FALSE,PPI Input q/q,NZD,2,0.3%,-1.0%
2013.02.19NZDPPI Output q q,2/19/13 21:45,FALSE,PPI Output q/q,NZD,1,0.4%,-0.9%
2013.02.19AUDCB Leading Index m m,2/19/13 23:00,FALSE,CB Leading Index m/m,AUD,2," ",-0.2%
2013.02.19AUDMI Leading Index m m,2/19/13 23:30,FALSE,MI Leading Index m/m,AUD,1," ",0.7%
2013.02.19JPYTrade Balance,2/19/13 23:50,FALSE,Trade Balance,JPY,2,-0.59T,-0.78T

