Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2017.01.31CNYBank Holiday,1/31/17 0:00,TRUE,Bank Holiday,CNY,4," "," "
2017.01.31AUDNAB Business Confidence,1/31/17 0:30,FALSE,NAB Business Confidence,AUD,1," ",6
2017.01.31AUDPrivate Sector Credit m m,1/31/17 0:30,FALSE,Private Sector Credit m/m,AUD,1,0.5%,0.5%
2017.01.31JPYBOJ Outlook Report,1/31/17 2:56,FALSE,BOJ Outlook Report,JPY,3," "," "
2017.01.31JPYBOJ Policy Rate,1/31/17 2:56,FALSE,BOJ Policy Rate,JPY,3,-0.10%,-0.10%
2017.01.31JPYMonetary Policy Statement,1/31/17 2:56,FALSE,Monetary Policy Statement,JPY,3," "," "
2017.01.31JPYHousing Starts y y,1/31/17 5:00,FALSE,Housing Starts y/y,JPY,1,8.5%,6.7%
2017.01.31EURFrench Flash GDP q q,1/31/17 6:30,FALSE,French Flash GDP q/q,EUR,1,0.4%,0.2%
2017.01.31JPYBOJ Press Conference,1/31/17 6:30,FALSE,BOJ Press Conference,JPY,3," "," "
2017.01.31EURGerman Retail Sales m m,1/31/17 7:00,FALSE,German Retail Sales m/m,EUR,2,0.6%,-1.7%
2017.01.31EURFrench Consumer Spending m m,1/31/17 7:45,FALSE,French Consumer Spending m/m,EUR,1,0.2%,0.6%
2017.01.31EURFrench Prelim CPI m m,1/31/17 7:45,FALSE,French Prelim CPI m/m,EUR,1,-0.5%,0.3%
2017.01.31EURECB President Draghi Speaks,1/31/17 8:00,FALSE,ECB President Draghi Speaks,EUR,3," "," "
2017.01.31EURSpanish Flash CPI y y,1/31/17 8:00,FALSE,Spanish Flash CPI y/y,EUR,2,2.4%,1.6%
2017.01.31EURGerman Unemployment Change,1/31/17 8:55,FALSE,German Unemployment Change,EUR,2,-5K,-20K
2017.01.31EURItalian Monthly Unemployment Rate,1/31/17 9:00,FALSE,Italian Monthly Unemployment Rate,EUR,1,11.8%,12.0%
2017.01.31GBPM4 Money Supply m m,1/31/17 9:30,FALSE,M4 Money Supply m/m,GBP,1,0.3%,0.4%
2017.01.31GBPMortgage Approvals,1/31/17 9:30,FALSE,Mortgage Approvals,GBP,1,69K,67K
2017.01.31GBPNet Lending to Individuals m m,1/31/17 9:30,FALSE,Net Lending to Individuals m/m,GBP,2,5.3B,5.1B
2017.01.31EURCPI Flash Estimate y y,1/31/17 10:00,FALSE,CPI Flash Estimate y/y,EUR,2,1.5%,1.1%
2017.01.31EURCore CPI Flash Estimate y y,1/31/17 10:00,FALSE,Core CPI Flash Estimate y/y,EUR,2,0.9%,0.9%
2017.01.31EURPrelim Flash GDP q q,1/31/17 10:00,FALSE,Prelim Flash GDP q/q,EUR,2,0.4%,0.3%
2017.01.31EURUnemployment Rate,1/31/17 10:00,FALSE,Unemployment Rate,EUR,1,9.8%,9.7%
2017.01.31GBP10-y Bond Auction,1/31/17 10:33,FALSE,10-y Bond Auction,GBP,1," ",1.16|2.5
2017.01.31CADGDP m m,1/31/17 13:30,FALSE,GDP m/m,CAD,3,0.3%,-0.2%
2017.01.31CADIPPI m m,1/31/17 13:30,FALSE,IPPI m/m,CAD,1,0.5%,0.4%
2017.01.31CADRMPI m m,1/31/17 13:30,FALSE,RMPI m/m,CAD,2,2.9%,-1.6%
2017.01.31USDEmployment Cost Index q q,1/31/17 13:30,FALSE,Employment Cost Index q/q,USD,2,0.6%,0.6%
2017.01.31USDS&P CS Composite-20 HPI y y,1/31/17 14:00,FALSE,S&P/CS Composite-20 HPI y/y,USD,1,5.0%,5.1%
2017.01.31USDChicago PMI,1/31/17 14:45,FALSE,Chicago PMI,USD,2,55.1,54.6
2017.01.31USDCB Consumer Confidence,1/31/17 15:00,FALSE,CB Consumer Confidence,USD,3,112.6,113.3
2017.01.31NZDEmployment Change q q,1/31/17 21:45,FALSE,Employment Change q/q,NZD,3,0.8%,1.3%
2017.01.31NZDLabor Cost Index q q,1/31/17 21:45,FALSE,Labor Cost Index q/q,NZD,1,0.5%,0.4%
2017.01.31NZDUnemployment Rate,1/31/17 21:45,FALSE,Unemployment Rate,NZD,3,4.8%,4.9%
2017.01.31AUDAIG Manufacturing Index,1/31/17 22:30,FALSE,AIG Manufacturing Index,AUD,1," ",55.4
2017.01.31CADBOC Gov Poloz Speaks,1/31/17 22:35,FALSE,BOC Gov Poloz Speaks,CAD,3," "," "

