Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2021.01.15USDPresident Biden Speaks,1/15/21 0:15,FALSE,President Biden Speaks,USD,3," "," "
2021.01.15JPYTertiary Industry Activity m m,1/15/21 4:30,FALSE,Tertiary Industry Activity m/m,JPY,1,0.3%,1.6%
2021.01.15GBPConstruction Output m m,1/15/21 7:00,FALSE,Construction Output m/m,GBP,1,0.8%,1.5%
2021.01.15GBPGDP m m,1/15/21 7:00,FALSE,GDP m/m,GBP,1,-4.6%,0.6%
2021.01.15GBPGoods Trade Balance,1/15/21 7:00,FALSE,Goods Trade Balance,GBP,1,-11.1B,-13.3B
2021.01.15GBPIndex of Services 3m 3m,1/15/21 7:00,FALSE,Index of Services 3m/3m,GBP,1,2.5%,10.0%
2021.01.15GBPIndustrial Production m m,1/15/21 7:00,FALSE,Industrial Production m/m,GBP,1,0.5%,1.1%
2021.01.15GBPManufacturing Production m m,1/15/21 7:00,FALSE,Manufacturing Production m/m,GBP,1,1.0%,1.6%
2021.01.15EURFrench Final CPI m m,1/15/21 7:45,FALSE,French Final CPI m/m,EUR,1,0.2%,0.2%
2021.01.15EURFrench Gov Budget Balance,1/15/21 7:45,FALSE,French Gov Budget Balance,EUR,1," ",-159.9B
2021.01.15EURTrade Balance,1/15/21 10:00,FALSE,Trade Balance,EUR,1,22.3B,25.2B
2021.01.15GBPNIESR GDP Estimate,1/15/21 13:06,FALSE,NIESR GDP Estimate,GBP,1," ",4.1%
2021.01.15USDCore PPI m m,1/15/21 13:30,FALSE,Core PPI m/m,USD,1,0.1%,0.1%
2021.01.15USDCore Retail Sales m m,1/15/21 13:30,FALSE,Core Retail Sales m/m,USD,3,-0.1%,-1.3%
2021.01.15USDEmpire State Manufacturing Index,1/15/21 13:30,FALSE,Empire State Manufacturing Index,USD,1,5.7,4.9
2021.01.15USDPPI m m,1/15/21 13:30,FALSE,PPI m/m,USD,1,0.4%,0.1%
2021.01.15USDRetail Sales m m,1/15/21 13:30,FALSE,Retail Sales m/m,USD,3,0.0%,-1.4%
2021.01.15USDCapacity Utilization Rate,1/15/21 14:15,FALSE,Capacity Utilization Rate,USD,1,73.4%,73.4%
2021.01.15USDIndustrial Production m m,1/15/21 14:15,FALSE,Industrial Production m/m,USD,1,0.5%,0.5%
2021.01.15USDBusiness Inventories m m,1/15/21 15:00,FALSE,Business Inventories m/m,USD,1,0.5%,0.8%
2021.01.15USDPrelim UoM Consumer Sentiment,1/15/21 15:00,FALSE,Prelim UoM Consumer Sentiment,USD,1,79.5,80.7
2021.01.15USDPrelim UoM Inflation Expectations,1/15/21 15:00,FALSE,Prelim UoM Inflation Expectations,USD,1," ",2.5%

