Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2017.10.06JPYAverage Cash Earnings y y,10/6/17 1:00,FALSE,Average Cash Earnings y/y,JPY,1,0.5%,-0.6%
2017.10.06JPYLeading Indicators,10/6/17 6:00,FALSE,Leading Indicators,JPY,1,107.2%,105.2%
2017.10.06EURGerman Factory Orders m m,10/6/17 7:00,FALSE,German Factory Orders m/m,EUR,1,0.7%,-0.4%
2017.10.06EURFrench Gov Budget Balance,10/6/17 7:45,FALSE,French Gov Budget Balance,EUR,1," ",-83.8B
2017.10.06EURFrench Trade Balance,10/6/17 7:45,FALSE,French Trade Balance,EUR,1,-5.4B,-5.8B
2017.10.06CHFForeign Currency Reserves,10/6/17 8:00,FALSE,Foreign Currency Reserves,CHF,1," ",717B
2017.10.06GBPHalifax HPI m m,10/6/17 8:30,FALSE,Halifax HPI m/m,GBP,2,0.0%,1.5%
2017.10.06EURItalian Retail Sales m m,10/6/17 9:00,FALSE,Italian Retail Sales m/m,EUR,1,0.2%,-0.4%
2017.10.06GBPMPC Member Haldane Speaks,10/6/17 13:00,FALSE,MPC Member Haldane Speaks,GBP,2," "," "
2017.10.06CADEmployment Change,10/6/17 13:30,FALSE,Employment Change,CAD,3,13.9K,22.2K
2017.10.06CADUnemployment Rate,10/6/17 13:30,FALSE,Unemployment Rate,CAD,3,6.3%,6.2%
2017.10.06USDAverage Hourly Earnings m m,10/6/17 13:30,FALSE,Average Hourly Earnings m/m,USD,3,0.3%,0.2%
2017.10.06USDNon-Farm Employment Change,10/6/17 13:30,FALSE,Non-Farm Employment Change,USD,3,82K,169K
2017.10.06USDUnemployment Rate,10/6/17 13:30,FALSE,Unemployment Rate,USD,3,4.4%,4.4%
2017.10.06CADIvey PMI,10/6/17 15:00,FALSE,Ivey PMI,CAD,2,56.0,56.3
2017.10.06USDFinal Wholesale Inventories m m,10/6/17 15:00,FALSE,Final Wholesale Inventories m/m,USD,1,1.0%,1.0%
2017.10.06USDFOMC Member Dudley Speaks,10/6/17 17:15,FALSE,FOMC Member Dudley Speaks,USD,2," "," "
2017.10.06USDFOMC Member Kaplan Speaks,10/6/17 17:45,FALSE,FOMC Member Kaplan Speaks,USD,2," "," "
2017.10.06USDConsumer Credit m m,10/6/17 20:00,FALSE,Consumer Credit m/m,USD,1,15.8B,17.7B

