Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2011.09.21GBPNationwide Consumer Confidence,9/21/11 0:01,FALSE,Nationwide Consumer Confidence,GBP,2,47,49
2011.09.21JPYTrade Balance,9/21/11 0:50,FALSE,Trade Balance,JPY,2,-0.01T,-0.16T
2011.09.21AUDMI Leading Index m m,9/21/11 1:30,FALSE,MI Leading Index m/m,AUD,2,,0.1%
2011.09.21CNYCB Leading Index m m,9/21/11 3:00,FALSE,CB Leading Index m/m,CNY,1,,0.9%
2011.09.21NZDCredit Card Spending y y,9/21/11 4:00,FALSE,Credit Card Spending y/y,NZD,1,,7.2%
2011.09.21JPYAll Industries Activity m m,9/21/11 5:30,FALSE,All Industries Activity m/m,JPY,1,0.9%,2.2%
2011.09.21GBPMPC Asset Purchase Facility Votes,9/21/11 9:30,FALSE,MPC Asset Purchase Facility Votes,GBP,3,1-0-8,1-0-8
2011.09.21GBPMPC Official Bank Rate Votes,9/21/11 9:30,FALSE,MPC Official Bank Rate Votes,GBP,3,0-0-9,0-0-9
2011.09.21GBPPublic Sector Net Borrowing,9/21/11 9:30,FALSE,Public Sector Net Borrowing,GBP,3,11.3B,-5.2B
2011.09.21EURGerman 10-y Bond Auction,9/21/11 10:11,FALSE,German 10-y Bond Auction,EUR,2,,2.15|1.4
2011.09.21CADCPI m m,9/21/11 12:00,FALSE,CPI m/m,CAD,2,0.1%,0.2%
2011.09.21CADCore CPI m m,9/21/11 12:00,FALSE,Core CPI m/m,CAD,3,0.1%,0.2%
2011.09.21GBPMPC Member Dale Speaks,9/21/11 12:35,FALSE,MPC Member Dale Speaks,GBP,2,,
2011.09.21AUDRBA Deputy Gov Battellino Speaks,9/21/11 14:20,FALSE,RBA Deputy Gov Battellino Speaks,AUD,2,,
2011.09.21USDExisting Home Sales,9/21/11 15:00,FALSE,Existing Home Sales,USD,3,4.76M,4.67M
2011.09.21USDCrude Oil Inventories,9/21/11 15:30,FALSE,Crude Oil Inventories,USD,2,-1.6M,-6.7M
2011.09.21USDFOMC Statement,9/21/11 19:23,FALSE,FOMC Statement,USD,3,,
2011.09.21USDFederal Funds Rate,9/21/11 19:23,FALSE,Federal Funds Rate,USD,2,<0.25%,<0.25%
2011.09.21AUDRBA Deputy Gov Lowe Speaks,9/21/11 23:30,FALSE,RBA Deputy Gov Lowe Speaks,AUD,2,,
2011.09.21NZDGDP q q,9/21/11 23:45,FALSE,GDP q/q,NZD,3,0.5%,0.9%

