Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2011.09.16EURECOFIN Meetings,9/16/11 0:00,TRUE,ECOFIN Meetings,EUR,3,,
2011.09.16EURCurrent Account,9/16/11 9:00,FALSE,Current Account,EUR,2,-5.6B,-7.1B
2011.09.16EURItalian Trade Balance,9/16/11 9:00,FALSE,Italian Trade Balance,EUR,1,-1.97B,-1.75B
2011.09.16GBPChancellor Osborne Speaks,9/16/11 9:35,FALSE,Chancellor Osborne Speaks,GBP,1,,
2011.09.16EURTrade Balance,9/16/11 10:00,FALSE,Trade Balance,EUR,1,1.7B,-2.5B
2011.09.16CADForeign Securities Purchases,9/16/11 13:30,FALSE,Foreign Securities Purchases,CAD,2,2.03B,-3.45B
2011.09.16USDTIC Long-Term Purchases,9/16/11 14:00,FALSE,TIC Long-Term Purchases,USD,3,31.3B,3.4B
2011.09.16USDPrelim UoM Consumer Sentiment,9/16/11 14:55,FALSE,Prelim UoM Consumer Sentiment,USD,3,57.3,55.7
2011.09.16USDPrelim UoM Inflation Expectations,9/16/11 14:55,FALSE,Prelim UoM Inflation Expectations,USD,1,,3.5%

