Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2018.07.17AUDMonetary Policy Meeting Minutes,7/17/18 2:30,FALSE,Monetary Policy Meeting Minutes,AUD,3," "," "
2018.07.17GBPBOE Gov Carney Speaks,7/17/18 9:00,FALSE,BOE Gov Carney Speaks,GBP,3," "," "
2018.07.17GBPAverage Earnings Index 3m y,7/17/18 9:30,FALSE,Average Earnings Index 3m/y,GBP,3,2.5%,2.6%
2018.07.17GBPClaimant Count Change,7/17/18 9:30,FALSE,Claimant Count Change,GBP,2,2.3K,-3.0K
2018.07.17GBPUnemployment Rate,7/17/18 9:30,FALSE,Unemployment Rate,GBP,2,4.2%,4.2%
2018.07.17CADManufacturing Sales m m,7/17/18 13:30,FALSE,Manufacturing Sales m/m,CAD,2,1.2%,-1.1%
2018.07.17USDCapacity Utilization Rate,7/17/18 14:15,FALSE,Capacity Utilization Rate,USD,2,78.4%,77.7%
2018.07.17USDIndustrial Production m m,7/17/18 14:15,FALSE,Industrial Production m/m,USD,2,0.5%,-0.5%
2018.07.17USDFed Chair Powell Testifies,7/17/18 15:00,FALSE,Fed Chair Powell Testifies,USD,3," "," "
2018.07.17USDNAHB Housing Market Index,7/17/18 15:00,FALSE,NAHB Housing Market Index,USD,1,69,68
2018.07.17NZDGDT Price Index,7/17/18 15:25,FALSE,GDT Price Index,NZD,2," ",-5.0%
2018.07.17USDTIC Long-Term Purchases,7/17/18 21:00,FALSE,TIC Long-Term Purchases,USD,1,34.3B,94.0B

