Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2012.04.11GBPBRC Retail Sales Monitor y y,4/11/12 0:01,FALSE,BRC Retail Sales Monitor y/y,GBP,2," ",-0.3%
2012.04.11JPYBank Lending y y,4/11/12 0:50,FALSE,Bank Lending y/y,JPY,1," ",0.6%
2012.04.11JPYCore Machinery Orders m m,4/11/12 0:50,FALSE,Core Machinery Orders m/m,JPY,2,-0.7%,3.4%
2012.04.11AUDWestpac Consumer Sentiment,4/11/12 1:30,FALSE,Westpac Consumer Sentiment,AUD,2," ",-5.0%
2012.04.11AUDHome Loans m m,4/11/12 2:30,FALSE,Home Loans m/m,AUD,2,-3.6%,-1.1%
2012.04.11JPYBOJ Monthly Report,4/11/12 6:00,FALSE,BOJ Monthly Report,JPY,2," "," "
2012.04.11EURGerman WPI m m,4/11/12 7:00,FALSE,German WPI m/m,EUR,1,0.9%,1.0%
2012.04.11EURGerman 10-y Bond Auction,4/11/12 10:33,FALSE,German 10-y Bond Auction,EUR,2," ",1.83|1.4
2012.04.11CADHousing Starts,4/11/12 13:13,FALSE,Housing Starts,CAD,2,201K,205K
2012.04.11USDImport Prices m m,4/11/12 13:30,FALSE,Import Prices m/m,USD,2,0.8%,-0.1%
2012.04.11USDCrude Oil Inventories,4/11/12 15:30,FALSE,Crude Oil Inventories,USD,2,2.1M,9.0M
2012.04.11USD10-y Bond Auction,4/11/12 18:00,FALSE,10-y Bond Auction,USD,2," ",2.08|3.2
2012.04.11USDFederal Budget Balance,4/11/12 18:54,FALSE,Federal Budget Balance,USD,2,-202.5B,-231.7B
2012.04.11USDBeige Book,4/11/12 19:00,FALSE,Beige Book,USD,2," "," "
2012.04.11USDFOMC Member Yellen Speaks,4/11/12 22:30,FALSE,FOMC Member Yellen Speaks,USD,2," "," "
2012.04.11NZDBusinessNZ Manufacturing Index,4/11/12 23:27,FALSE,BusinessNZ Manufacturing Index,NZD,1," ",57.7

