Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2018.01.29EURGerman Import Prices m m,1/29/18 7:00,FALSE,German Import Prices m/m,EUR,1,0.3%,0.8%
2018.01.29USDCore PCE Price Index m m,1/29/18 13:30,FALSE,Core PCE Price Index m/m,USD,2,0.2%,0.1%
2018.01.29USDPersonal Income m m,1/29/18 13:30,FALSE,Personal Income m/m,USD,1,0.3%,0.3%
2018.01.29USDPersonal Spending m m,1/29/18 13:30,FALSE,Personal Spending m/m,USD,2,0.5%,0.8%
2018.01.29NZDTrade Balance,1/29/18 21:45,FALSE,Trade Balance,NZD,2,-125M,-1233M
2018.01.29JPYHousehold Spending y y,1/29/18 23:30,FALSE,Household Spending y/y,JPY,1,1.6%,1.7%
2018.01.29JPYUnemployment Rate,1/29/18 23:30,FALSE,Unemployment Rate,JPY,1,2.7%,2.7%
2018.01.29JPYRetail Sales y y,1/29/18 23:50,FALSE,Retail Sales y/y,JPY,1,2.1%,2.1%

