Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2014.10.14EURECOFIN Meetings,10/14/14 0:00,TRUE,ECOFIN Meetings,EUR,2," "," "
2014.10.14GBPBRC Retail Sales Monitor y y,10/14/14 0:01,FALSE,BRC Retail Sales Monitor y/y,GBP,1," ",1.3%
2014.10.14JPYM2 Money Stock y y,10/14/14 0:50,FALSE,M2 Money Stock y/y,JPY,1,2.9%,3.0%
2014.10.14JPYPPI y y,10/14/14 0:50,FALSE,PPI y/y,JPY,1,3.6%,3.9%
2014.10.14AUDNAB Business Confidence,10/14/14 1:30,FALSE,NAB Business Confidence,AUD,3," ",7
2014.10.14EURFrench Final CPI m m,10/14/14 7:45,FALSE,French Final CPI m/m,EUR,1,-0.3%,0.4%
2014.10.14CHFPPI m m,10/14/14 8:15,FALSE,PPI m/m,CHF,2,0.3%,-0.2%
2014.10.14GBPCPI y y,10/14/14 9:30,FALSE,CPI y/y,GBP,3,1.4%,1.5%
2014.10.14GBPCore CPI y y,10/14/14 9:30,FALSE,Core CPI y/y,GBP,1,1.8%,1.9%
2014.10.14GBPONS HPI y y,10/14/14 9:30,FALSE,ONS HPI y/y,GBP,1,12.3%,11.7%
2014.10.14GBPPPI Input m m,10/14/14 9:30,FALSE,PPI Input m/m,GBP,2,-0.4%,-1.2%
2014.10.14GBPPPI Output m m,10/14/14 9:30,FALSE,PPI Output m/m,GBP,1,-0.1%,-0.1%
2014.10.14GBPRPI y y,10/14/14 9:30,FALSE,RPI y/y,GBP,2,2.3%,2.4%
2014.10.14EURGerman ZEW Economic Sentiment,10/14/14 10:00,FALSE,German ZEW Economic Sentiment,EUR,3,0.2,6.9
2014.10.14EURIndustrial Production m m,10/14/14 10:00,FALSE,Industrial Production m/m,EUR,2,-1.5%,0.9%
2014.10.14EURZEW Economic Sentiment,10/14/14 10:00,FALSE,ZEW Economic Sentiment,EUR,2,7.1,14.2
2014.10.14USDNFIB Small Business Index,10/14/14 12:30,FALSE,NFIB Small Business Index,USD,1,97.2,96.1

