Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2013.11.13NZDRBNZ Gov Wheeler Speaks,11/13/13 0:00,FALSE,RBNZ Gov Wheeler Speaks,NZD,3," "," "
2013.11.13AUDNew Motor Vehicle Sales m m,11/13/13 0:30,FALSE,New Motor Vehicle Sales m/m,AUD,2," ",-0.3%
2013.11.13AUDWage Price Index q q,11/13/13 0:30,FALSE,Wage Price Index q/q,AUD,2,0.8%,0.7%
2013.11.13GBPAverage Earnings Index 3m y,11/13/13 9:30,FALSE,Average Earnings Index 3m/y,GBP,2,0.7%,0.8%
2013.11.13GBPClaimant Count Change,11/13/13 9:30,FALSE,Claimant Count Change,GBP,3,-33.2K,-44.7K
2013.11.13GBPUnemployment Rate,11/13/13 9:30,FALSE,Unemployment Rate,GBP,3,7.6%,7.7%
2013.11.13EURIndustrial Production m m,11/13/13 10:00,FALSE,Industrial Production m/m,EUR,2,-0.2%,1.0%
2013.11.13GBPBOE Gov Carney Speaks,11/13/13 10:30,FALSE,BOE Gov Carney Speaks,GBP,3," "," "
2013.11.13GBPBOE Monetary Policy Report,11/13/13 10:30,FALSE,BOE Monetary Policy Report,GBP,3," "," "
2013.11.13EURGerman Buba President Weidmann Speaks,11/13/13 12:10,FALSE,German Buba President Weidmann Speaks,EUR,2," "," "
2013.11.13USD10-y Bond Auction,11/13/13 18:01,FALSE,10-y Bond Auction,USD,2," ",2.66|2.6
2013.11.13USDFederal Budget Balance,11/13/13 19:00,FALSE,Federal Budget Balance,USD,2,-104.3B,75.1B
2013.11.13NZDBusinessNZ Manufacturing Index,11/13/13 21:30,FALSE,BusinessNZ Manufacturing Index,NZD,2," ",54.2
2013.11.13NZDCore Retail Sales q q,11/13/13 21:45,FALSE,Core Retail Sales q/q,NZD,2,1.4%,2.1%
2013.11.13NZDRetail Sales q q,11/13/13 21:45,FALSE,Retail Sales q/q,NZD,3,0.9%,1.5%
2013.11.13JPYPrelim GDP Price Index y y,11/13/13 23:50,FALSE,Prelim GDP Price Index y/y,JPY,1,-0.5%,-0.5%
2013.11.13JPYPrelim GDP q q,11/13/13 23:50,FALSE,Prelim GDP q/q,JPY,3,0.4%,0.9%

