Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2016.11.28EURM3 Money Supply y y,11/28/16 9:00,FALSE,M3 Money Supply y/y,EUR,2,5.0%,5.1%
2016.11.28EURPrivate Loans y y,11/28/16 9:00,FALSE,Private Loans y/y,EUR,1,1.9%,1.8%
2016.11.28EURECB President Draghi Speaks,11/28/16 16:00,FALSE,ECB President Draghi Speaks,EUR,3," "," "
2016.11.28JPYHousehold Spending y y,11/28/16 23:30,FALSE,Household Spending y/y,JPY,2,-1.0%,-2.1%
2016.11.28JPYUnemployment Rate,11/28/16 23:30,FALSE,Unemployment Rate,JPY,1,3.0%,3.0%
2016.11.28JPYRetail Sales y y,11/28/16 23:50,FALSE,Retail Sales y/y,JPY,1,-1.5%,-1.7%

