Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2012.03.05AUDANZ Job Advertisements m m,3/5/12 0:30,FALSE,ANZ Job Advertisements m/m,AUD,3,,7.5%
2012.03.05AUDCompany Operating Profits q q,3/5/12 0:30,FALSE,Company Operating Profits q/q,AUD,2,0.2%,4.7%
2012.03.05CNYCaixin Services PMI,3/5/12 2:30,FALSE,Caixin Services PMI,CNY,1,,52.5
2012.03.05CHFRetail Sales y y,3/5/12 8:15,FALSE,Retail Sales y/y,CHF,3,2.0%,1.7%
2012.03.05EURSpanish Services PMI,3/5/12 8:15,FALSE,Spanish Services PMI,EUR,1,,46.1
2012.03.05EURItalian Services PMI,3/5/12 8:45,FALSE,Italian Services PMI,EUR,1,45.3,44.8
2012.03.05EURFrench Final Services PMI,3/5/12 8:50,FALSE,French Final Services PMI,EUR,1,50.3,50.3
2012.03.05EURGerman Final Services PMI,3/5/12 8:55,FALSE,German Final Services PMI,EUR,1,52.6,52.6
2012.03.05EURFinal Services PMI,3/5/12 9:00,FALSE,Final Services PMI,EUR,2,49.5,49.4
2012.03.05EURSentix Investor Confidence,3/5/12 9:30,FALSE,Sentix Investor Confidence,EUR,2,-5.4,-11.1
2012.03.05GBPFinal Services PMI,3/5/12 9:30,FALSE,Final Services PMI,GBP,3,55.0,56.0
2012.03.05EURRetail Sales m m,3/5/12 10:00,FALSE,Retail Sales m/m,EUR,2,0.0%,-0.5%
2012.03.05USDFactory Orders m m,3/5/12 15:00,FALSE,Factory Orders m/m,USD,2,-1.3%,1.4%
2012.03.05USDISM Services PMI,3/5/12 15:00,FALSE,ISM Services PMI,USD,3,56.1,56.8

