Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2013.12.25AUDBank Holiday,12/25/13 0:00,TRUE,Bank Holiday,AUD,4," "," "
2013.12.25CADBank Holiday,12/25/13 0:00,TRUE,Bank Holiday,CAD,4," "," "
2013.12.25CHFBank Holiday,12/25/13 0:00,TRUE,Bank Holiday,CHF,4," "," "
2013.12.25EURFrench Bank Holiday,12/25/13 0:00,TRUE,French Bank Holiday,EUR,4," "," "
2013.12.25EURGerman Bank Holiday,12/25/13 0:00,TRUE,German Bank Holiday,EUR,4," "," "
2013.12.25EURItalian Bank Holiday,12/25/13 0:00,TRUE,Italian Bank Holiday,EUR,4," "," "
2013.12.25GBPBank Holiday,12/25/13 0:00,TRUE,Bank Holiday,GBP,4," "," "
2013.12.25NZDBank Holiday,12/25/13 0:00,TRUE,Bank Holiday,NZD,4," "," "
2013.12.25USDBank Holiday,12/25/13 0:00,TRUE,Bank Holiday,USD,4," "," "
2013.12.25JPYBOJ Gov Kuroda Speaks,12/25/13 4:00,FALSE,BOJ Gov Kuroda Speaks,JPY,2," "," "
2013.12.25JPYMonetary Policy Meeting Minutes,12/25/13 23:50,FALSE,Monetary Policy Meeting Minutes,JPY,2," "," "

