Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2021.02.03AllOPEC-JMMC Meetings,2/3/21 0:00,TRUE,OPEC-JMMC Meetings,All,3," "," "
2021.02.03NZDANZ Commodity Prices m m,2/3/21 0:00,FALSE,ANZ Commodity Prices m/m,NZD,1," ",1.8%
2021.02.03AUDBuilding Approvals m m,2/3/21 0:30,FALSE,Building Approvals m/m,AUD,1,3.2%,3.4%
2021.02.03AUDRBA Gov Lowe Speaks,2/3/21 1:30,FALSE,RBA Gov Lowe Speaks,AUD,2," "," "
2021.02.03CNYCaixin Services PMI,2/3/21 1:45,FALSE,Caixin Services PMI,CNY,1,55.5,56.3
2021.02.03EURFrench Gov Budget Balance,2/3/21 7:45,FALSE,French Gov Budget Balance,EUR,1," ",-176.8B
2021.02.03EURSpanish Services PMI,2/3/21 8:15,FALSE,Spanish Services PMI,EUR,1,45.1,48.0
2021.02.03EURItalian Services PMI,2/3/21 8:45,FALSE,Italian Services PMI,EUR,1,39.5,39.7
2021.02.03EURFrench Final Services PMI,2/3/21 8:50,FALSE,French Final Services PMI,EUR,1,46.5,46.5
2021.02.03EURGerman Final Services PMI,2/3/21 8:55,FALSE,German Final Services PMI,EUR,1,46.8,46.8
2021.02.03EURFinal Services PMI,2/3/21 9:00,FALSE,Final Services PMI,EUR,1,45.0,45.0
2021.02.03GBPFinal Services PMI,2/3/21 9:30,FALSE,Final Services PMI,GBP,2,38.8,38.8
2021.02.03EURCPI Flash Estimate y y,2/3/21 10:00,FALSE,CPI Flash Estimate y/y,EUR,1,0.6%,-0.3%
2021.02.03EURCore CPI Flash Estimate y y,2/3/21 10:00,FALSE,Core CPI Flash Estimate y/y,EUR,1,0.9%,0.2%
2021.02.03EURItalian Prelim CPI m m,2/3/21 10:00,FALSE,Italian Prelim CPI m/m,EUR,1,0.2%,0.2%
2021.02.03EURPPI m m,2/3/21 10:00,FALSE,PPI m/m,EUR,1,0.7%,0.4%
2021.02.03GBP10-y Bond Auction,2/3/21 10:06,FALSE,10-y Bond Auction,GBP,1," ",0.33|2.9
2021.02.03USDADP Non-Farm Employment Change,2/3/21 13:15,FALSE,ADP Non-Farm Employment Change,USD,2,48K,-78K
2021.02.03USDFinal Services PMI,2/3/21 14:45,FALSE,Final Services PMI,USD,1,57.4,57.5
2021.02.03USDISM Services PMI,2/3/21 15:00,FALSE,ISM Services PMI,USD,2,56.7,57.2
2021.02.03USDCrude Oil Inventories,2/3/21 15:30,FALSE,Crude Oil Inventories,USD,2,-0.6M,-9.9M
2021.02.03NZDBuilding Consents m m,2/3/21 21:45,FALSE,Building Consents m/m,NZD,1," ",1.2%
2021.02.03USDFOMC Member Evans Speaks,2/3/21 22:00,FALSE,FOMC Member Evans Speaks,USD,1," "," "

