Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2011.04.01USDTotal Vehicle Sales,4/1/11 0:00,TRUE,Total Vehicle Sales,USD,1,13.3M,13.4M
2011.04.01JPYTankan Manufacturing Index,4/1/11 0:50,FALSE,Tankan Manufacturing Index,JPY,3,6,5
2011.04.01JPYTankan Non-Manufacturing Index,4/1/11 0:50,FALSE,Tankan Non-Manufacturing Index,JPY,2,2,1
2011.04.01CNYManufacturing PMI,4/1/11 2:00,FALSE,Manufacturing PMI,CNY,3,54.6,52.2
2011.04.01CNYCaixin Manufacturing PMI,4/1/11 3:30,FALSE,Caixin Manufacturing PMI,CNY,2,,52.5
2011.04.01AUDCommodity Prices y y,4/1/11 6:30,FALSE,Commodity Prices y/y,AUD,2,,44.9%
2011.04.01CHFRetail Sales y y,4/1/11 8:15,FALSE,Retail Sales y/y,CHF,3,-0.8%,-2.4%
2011.04.01EURSpanish Manufacturing PMI,4/1/11 8:15,FALSE,Spanish Manufacturing PMI,EUR,2,,52.1
2011.04.01CHFManufacturing PMI,4/1/11 8:30,FALSE,Manufacturing PMI,CHF,2,62.2,63.5
2011.04.01EURItalian Manufacturing PMI,4/1/11 8:45,FALSE,Italian Manufacturing PMI,EUR,2,58.0,59.0
2011.04.01EURFrench Final Manufacturing PMI,4/1/11 8:50,FALSE,French Final Manufacturing PMI,EUR,1,56.6,56.6
2011.04.01EURGerman Final Manufacturing PMI,4/1/11 8:55,FALSE,German Final Manufacturing PMI,EUR,1,60.9,60.9
2011.04.01EURFinal Manufacturing PMI,4/1/11 9:00,FALSE,Final Manufacturing PMI,EUR,1,57.7,57.7
2011.04.01EURItalian Monthly Unemployment Rate,4/1/11 9:00,FALSE,Italian Monthly Unemployment Rate,EUR,1,8.5%,8.6%
2011.04.01EURItalian Quarterly Unemployment Rate,4/1/11 9:00,FALSE,Italian Quarterly Unemployment Rate,EUR,1,8.3%,8.4%
2011.04.01GBPFinal Manufacturing PMI,4/1/11 9:30,FALSE,Final Manufacturing PMI,GBP,3,60.7,60.9
2011.04.01EURUnemployment Rate,4/1/11 10:00,FALSE,Unemployment Rate,EUR,2,9.9%,10.0%
2011.04.01USDFOMC Member Plosser Speaks,4/1/11 13:15,FALSE,FOMC Member Plosser Speaks,USD,2,,
2011.04.01USDAverage Hourly Earnings m m,4/1/11 13:30,FALSE,Average Hourly Earnings m/m,USD,2,0.2%,0.0%
2011.04.01USDNon-Farm Employment Change,4/1/11 13:30,FALSE,Non-Farm Employment Change,USD,3,191K,194K
2011.04.01USDUnemployment Rate,4/1/11 13:30,FALSE,Unemployment Rate,USD,3,8.9%,8.9%
2011.04.01USDConstruction Spending m m,4/1/11 15:00,FALSE,Construction Spending m/m,USD,1,-0.1%,-1.8%
2011.04.01USDFOMC Member Dudley Speaks,4/1/11 15:00,FALSE,FOMC Member Dudley Speaks,USD,1,,
2011.04.01USDISM Manufacturing PMI,4/1/11 15:00,FALSE,ISM Manufacturing PMI,USD,3,61.1,61.4
2011.04.01USDISM Manufacturing Prices,4/1/11 15:00,FALSE,ISM Manufacturing Prices,USD,1,83.1,82.0

