Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2019.04.17JPYTrade Balance,4/17/19 0:50,FALSE,Trade Balance,JPY,1,-0.30T,0.03T
2019.04.17AUDMI Leading Index m m,4/17/19 1:30,FALSE,MI Leading Index m/m,AUD,1," ",0.0%
2019.04.17CNYGDP q y,4/17/19 2:59,FALSE,GDP q/y,CNY,3,6.3%,6.4%
2019.04.17CNYFixed Asset Investment ytd y,4/17/19 3:00,FALSE,Fixed Asset Investment ytd/y,CNY,2,6.3%,6.1%
2019.04.17CNYIndustrial Production y y,4/17/19 3:00,FALSE,Industrial Production y/y,CNY,2,5.6%,5.3%
2019.04.17CNYNBS Press Conference,4/17/19 3:00,FALSE,NBS Press Conference,CNY,1," "," "
2019.04.17CNYRetail Sales y y,4/17/19 3:00,FALSE,Retail Sales y/y,CNY,1,8.3%,8.2%
2019.04.17CNYUnemployment Rate,4/17/19 3:00,FALSE,Unemployment Rate,CNY,1," ",5.3%
2019.04.17JPYRevised Industrial Production m m,4/17/19 5:30,FALSE,Revised Industrial Production m/m,JPY,1,1.4%,1.4%
2019.04.17EURCurrent Account,4/17/19 9:00,FALSE,Current Account,EUR,1,33.2B,37.1B
2019.04.17GBPCPI y y,4/17/19 9:30,FALSE,CPI y/y,GBP,3,2.0%,1.9%
2019.04.17GBPCore CPI y y,4/17/19 9:30,FALSE,Core CPI y/y,GBP,1,1.9%,1.8%
2019.04.17GBPHPI y y,4/17/19 9:30,FALSE,HPI y/y,GBP,1,1.3%,1.7%
2019.04.17GBPPPI Input m m,4/17/19 9:30,FALSE,PPI Input m/m,GBP,2,0.3%,1.0%
2019.04.17GBPPPI Output m m,4/17/19 9:30,FALSE,PPI Output m/m,GBP,1,0.2%,0.3%
2019.04.17GBPRPI y y,4/17/19 9:30,FALSE,RPI y/y,GBP,2,2.6%,2.5%
2019.04.17EURFinal CPI y y,4/17/19 10:00,FALSE,Final CPI y/y,EUR,1,1.4%,1.4%
2019.04.17EURFinal Core CPI y y,4/17/19 10:00,FALSE,Final Core CPI y/y,EUR,1,0.8%,0.8%
2019.04.17EURTrade Balance,4/17/19 10:00,FALSE,Trade Balance,EUR,1,16.8B,17.4B
2019.04.17EURItalian Trade Balance,4/17/19 10:03,FALSE,Italian Trade Balance,EUR,1,2.62B,0.33B
2019.04.17EURGerman 30-y Bond Auction,4/17/19 10:36,FALSE,German 30-y Bond Auction,EUR,1," ",0.74|1.5
2019.04.17CADCPI m m,4/17/19 13:30,FALSE,CPI m/m,CAD,3,0.7%,0.7%
2019.04.17CADCommon CPI y y,4/17/19 13:30,FALSE,Common CPI y/y,CAD,2,1.8%,1.8%
2019.04.17CADMedian CPI y y,4/17/19 13:30,FALSE,Median CPI y/y,CAD,2,1.8%,1.9%
2019.04.17CADTrade Balance,4/17/19 13:30,FALSE,Trade Balance,CAD,3,-3.5B,-3.1B
2019.04.17CADTrimmed CPI y y,4/17/19 13:30,FALSE,Trimmed CPI y/y,CAD,2,1.8%,2.0%
2019.04.17USDTrade Balance,4/17/19 13:30,FALSE,Trade Balance,USD,1,-53.5B,-51.1B
2019.04.17CADCore CPI m m,4/17/19 13:32,FALSE,Core CPI m/m,CAD,1," ",0.7%
2019.04.17GBPBOE Gov Carney Speaks,4/17/19 14:00,FALSE,BOE Gov Carney Speaks,GBP,3," "," "
2019.04.17USDFinal Wholesale Inventories m m,4/17/19 15:00,FALSE,Final Wholesale Inventories m/m,USD,1,0.4%,1.2%
2019.04.17USDCrude Oil Inventories,4/17/19 15:30,FALSE,Crude Oil Inventories,USD,1,1.6M,7.0M
2019.04.17USDFOMC Member Bullard Speaks,4/17/19 17:45,FALSE,FOMC Member Bullard Speaks,USD,2," "," "
2019.04.17USDBeige Book,4/17/19 19:00,FALSE,Beige Book,USD,1," "," "

