Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2011.02.02AUDHIA New Home Sales m m,2/2/11 0:00,FALSE,HIA New Home Sales m/m,AUD,2,,-0.2%
2011.02.02CNYBank Holiday,2/2/11 0:00,TRUE,Bank Holiday,CNY,4,,
2011.02.02EURSpanish Unemployment Change,2/2/11 8:00,FALSE,Spanish Unemployment Change,EUR,2,,-10.2K
2011.02.02GBPConstruction PMI,2/2/11 9:30,FALSE,Construction PMI,GBP,2,49.8,49.1
2011.02.02EURPPI m m,2/2/11 10:00,FALSE,PPI m/m,EUR,1,0.8%,0.3%
2011.02.02USDChallenger Job Cuts y y,2/2/11 12:30,FALSE,Challenger Job Cuts y/y,USD,1,,-29.0%
2011.02.02USDADP Non-Farm Employment Change,2/2/11 13:15,FALSE,ADP Non-Farm Employment Change,USD,3,148K,247K
2011.02.02USDCrude Oil Inventories,2/2/11 15:30,FALSE,Crude Oil Inventories,USD,2,2.5M,4.8M
2011.02.02CADGov Council Member Macklem Speaks,2/2/11 19:30,FALSE,Gov Council Member Macklem Speaks,CAD,1,,
2011.02.02NZDEmployment Change q q,2/2/11 21:45,FALSE,Employment Change q/q,NZD,3,0.2%,1.0%
2011.02.02NZDUnemployment Rate,2/2/11 21:45,FALSE,Unemployment Rate,NZD,3,6.5%,6.4%
2011.02.02AUDAIG Services Index,2/2/11 22:28,FALSE,AIG Services Index,AUD,2,,46.4
2011.02.02USDFOMC Member Duke Speaks,2/2/11 22:30,FALSE,FOMC Member Duke Speaks,USD,1,,

