Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2012.09.14EURECOFIN Meetings,9/14/12 0:00,TRUE,ECOFIN Meetings,EUR,2," "," "
2012.09.14JPYRevised Industrial Production m m,9/14/12 5:30,FALSE,Revised Industrial Production m/m,JPY,1,-1.2%,-1.2%
2012.09.14EURFinal CPI y y,9/14/12 10:00,FALSE,Final CPI y/y,EUR,2,2.6%,2.6%
2012.09.14EURFinal Core CPI y y,9/14/12 10:00,FALSE,Final Core CPI y/y,EUR,2,1.7%,1.7%
2012.09.14EURFinal Employment Change q q,9/14/12 10:00,FALSE,Final Employment Change q/q,EUR,1,-0.2%,-0.3%
2012.09.14CADManufacturing Sales m m,9/14/12 13:30,FALSE,Manufacturing Sales m/m,CAD,2,0.4%,-0.8%
2012.09.14USDCPI m m,9/14/12 13:30,FALSE,CPI m/m,USD,2,0.5%,0.0%
2012.09.14USDCPI y y,9/14/12 13:30,FALSE,CPI y/y,USD,3,1.7%,1.4%
2012.09.14USDCore CPI m m,9/14/12 13:30,FALSE,Core CPI m/m,USD,3,0.2%,0.1%
2012.09.14USDCore Retail Sales m m,9/14/12 13:30,FALSE,Core Retail Sales m/m,USD,3,0.7%,0.8%
2012.09.14USDRetail Sales m m,9/14/12 13:30,FALSE,Retail Sales m/m,USD,3,0.7%,0.6%
2012.09.14USDCapacity Utilization Rate,9/14/12 14:15,FALSE,Capacity Utilization Rate,USD,2,79.3%,79.2%
2012.09.14USDIndustrial Production m m,9/14/12 14:15,FALSE,Industrial Production m/m,USD,2,0.1%,0.5%
2012.09.14USDPrelim UoM Consumer Sentiment,9/14/12 14:55,FALSE,Prelim UoM Consumer Sentiment,USD,3,74.1,74.3
2012.09.14USDPrelim UoM Inflation Expectations,9/14/12 14:55,FALSE,Prelim UoM Inflation Expectations,USD,1," ",3.6%
2012.09.14USDBusiness Inventories m m,9/14/12 15:00,FALSE,Business Inventories m/m,USD,2,0.3%,0.1%
2012.09.14USDFOMC Member Lockhart Speaks,9/14/12 18:00,FALSE,FOMC Member Lockhart Speaks,USD,1," "," "
2012.09.14USDFOMC Member Raskin Speaks,9/14/12 18:45,FALSE,FOMC Member Raskin Speaks,USD,1," "," "

