Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2021.04.12USDFed Chair Powell Speaks,4/12/21 0:00,FALSE,Fed Chair Powell Speaks,USD,3," "," "
2021.04.12JPYBank Lending y y,4/12/21 0:50,FALSE,Bank Lending y/y,JPY,1,6.3%,6.2%
2021.04.12JPYPPI y y,4/12/21 0:50,FALSE,PPI y/y,JPY,1,0.5%,-0.6%
2021.04.12JPYPrelim Machine Tool Orders y y,4/12/21 6:59,FALSE,Prelim Machine Tool Orders y/y,JPY,1," ",36.7%
2021.04.12CNYM2 Money Supply y y,4/12/21 9:00,FALSE,M2 Money Supply y/y,CNY,1,9.5%,10.1%
2021.04.12CNYNew Loans,4/12/21 9:00,FALSE,New Loans,CNY,1,2300B,1360B
2021.04.12EURRetail Sales m m,4/12/21 10:00,FALSE,Retail Sales m/m,EUR,1,1.3%,-5.2%
2021.04.12GBPMPC Member Tenreyro Speaks,4/12/21 14:00,FALSE,MPC Member Tenreyro Speaks,GBP,1," "," "
2021.04.12CADBOC Business Outlook Survey,4/12/21 15:30,FALSE,BOC Business Outlook Survey,CAD,3," "," "
2021.04.12USD10-y Bond Auction,4/12/21 18:01,FALSE,10-y Bond Auction,USD,2," ",1.52|2.4
2021.04.12USDFederal Budget Balance,4/12/21 19:00,FALSE,Federal Budget Balance,USD,1,-665.5B,-310.9B
2021.04.12NZDNZIER Business Confidence,4/12/21 23:00,FALSE,NZIER Business Confidence,NZD,2," ",-6

