Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2018.06.13AUDWestpac Consumer Sentiment,6/13/18 1:30,FALSE,Westpac Consumer Sentiment,AUD,1," ",-0.6%
2018.06.13AUDRBA Gov Lowe Speaks,6/13/18 4:20,FALSE,RBA Gov Lowe Speaks,AUD,3," "," "
2018.06.13CHFPPI m m,6/13/18 8:15,FALSE,PPI m/m,CHF,2,0.3%,0.4%
2018.06.13GBPCPI y y,6/13/18 9:30,FALSE,CPI y/y,GBP,3,2.4%,2.4%
2018.06.13GBPCore CPI y y,6/13/18 9:30,FALSE,Core CPI y/y,GBP,1,2.1%,2.1%
2018.06.13GBPHPI y y,6/13/18 9:30,FALSE,HPI y/y,GBP,1,4.4%,4.2%
2018.06.13GBPPPI Input m m,6/13/18 9:30,FALSE,PPI Input m/m,GBP,2,1.7%,0.6%
2018.06.13GBPPPI Output m m,6/13/18 9:30,FALSE,PPI Output m/m,GBP,1,0.3%,0.4%
2018.06.13GBPRPI y y,6/13/18 9:30,FALSE,RPI y/y,GBP,1,3.4%,3.4%
2018.06.13EURFinal Employment Change q q,6/13/18 10:00,FALSE,Final Employment Change q/q,EUR,1,0.3%,0.3%
2018.06.13EURIndustrial Production m m,6/13/18 10:00,FALSE,Industrial Production m/m,EUR,1,-0.6%,0.6%
2018.06.13EURGerman 10-y Bond Auction,6/13/18 10:38,FALSE,German 10-y Bond Auction,EUR,1," ",0.62|2.8
2018.06.13USDCore PPI m m,6/13/18 13:30,FALSE,Core PPI m/m,USD,2,0.2%,0.2%
2018.06.13USDPPI m m,6/13/18 13:30,FALSE,PPI m/m,USD,3,0.3%,0.1%
2018.06.13USDCrude Oil Inventories,6/13/18 15:30,FALSE,Crude Oil Inventories,USD,3,-1.4M,2.1M
2018.06.13USDFOMC Economic Projections,6/13/18 19:00,FALSE,FOMC Economic Projections,USD,3," "," "
2018.06.13USDFOMC Statement,6/13/18 19:00,FALSE,FOMC Statement,USD,3," "," "
2018.06.13USDFederal Funds Rate,6/13/18 19:00,FALSE,Federal Funds Rate,USD,3,2.00%,1.75%
2018.06.13USDFOMC Press Conference,6/13/18 19:30,FALSE,FOMC Press Conference,USD,3," "," "

