Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2013.09.13EURECOFIN Meetings,9/13/13 0:00,TRUE,ECOFIN Meetings,EUR,2," "," "
2013.09.13EUREurogroup Meetings,9/13/13 0:00,TRUE,Eurogroup Meetings,EUR,2," "," "
2013.09.13JPYRevised Industrial Production m m,9/13/13 5:30,FALSE,Revised Industrial Production m/m,JPY,1,3.2%,3.2%
2013.09.13CHFPPI m m,9/13/13 8:15,FALSE,PPI m/m,CHF,2,0.2%,0.0%
2013.09.13GBPConstruction Output m m,9/13/13 9:30,FALSE,Construction Output m/m,GBP,1,2.0%,-1.1%
2013.09.13EURFinal Employment Change q q,9/13/13 10:00,FALSE,Final Employment Change q/q,EUR,1,-0.2%,-0.4%
2013.09.13CADCapacity Utilization Rate,9/13/13 13:30,FALSE,Capacity Utilization Rate,CAD,1,81.3%,80.8%
2013.09.13USDCore PPI m m,9/13/13 13:30,FALSE,Core PPI m/m,USD,2,0.2%,0.1%
2013.09.13USDCore Retail Sales m m,9/13/13 13:30,FALSE,Core Retail Sales m/m,USD,3,0.3%,0.6%
2013.09.13USDPPI m m,9/13/13 13:30,FALSE,PPI m/m,USD,3,0.2%,0.0%
2013.09.13USDRetail Sales m m,9/13/13 13:30,FALSE,Retail Sales m/m,USD,3,0.5%,0.4%
2013.09.13USDPrelim UoM Consumer Sentiment,9/13/13 14:55,FALSE,Prelim UoM Consumer Sentiment,USD,3,82.6,82.1
2013.09.13USDPrelim UoM Inflation Expectations,9/13/13 14:55,FALSE,Prelim UoM Inflation Expectations,USD,1," ",3.0%
2013.09.13USDBusiness Inventories m m,9/13/13 15:00,FALSE,Business Inventories m/m,USD,2,0.4%,0.1%

