Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2014.02.28NZDANZ Business Confidence,2/28/14 0:00,FALSE,ANZ Business Confidence,NZD,3," ",64.1
2014.02.28AUDPrivate Sector Credit m m,2/28/14 0:30,FALSE,Private Sector Credit m/m,AUD,2,0.5%,0.5%
2014.02.28JPYHousing Starts y y,2/28/14 5:00,FALSE,Housing Starts y/y,JPY,1,15.3%,18.0%
2014.02.28EURGerman Retail Sales m m,2/28/14 7:00,FALSE,German Retail Sales m/m,EUR,2,1.2%,-1.7%
2014.02.28GBPNationwide HPI m m,2/28/14 7:00,FALSE,Nationwide HPI m/m,GBP,2,0.6%,0.8%
2014.02.28EURFrench Consumer Spending m m,2/28/14 7:45,FALSE,French Consumer Spending m/m,EUR,2,-0.8%,0.2%
2014.02.28CHFKOF Economic Barometer,2/28/14 8:00,FALSE,KOF Economic Barometer,CHF,2,2.03,2.01
2014.02.28EURSpanish Flash CPI y y,2/28/14 8:00,FALSE,Spanish Flash CPI y/y,EUR,2,0.1%,0.2%
2014.02.28EURItalian Monthly Unemployment Rate,2/28/14 9:00,FALSE,Italian Monthly Unemployment Rate,EUR,1,12.7%,12.7%
2014.02.28EURItalian Quarterly Unemployment Rate,2/28/14 9:00,FALSE,Italian Quarterly Unemployment Rate,EUR,1,12.4%,12.3%
2014.02.28EURCPI Flash Estimate y y,2/28/14 10:00,FALSE,CPI Flash Estimate y/y,EUR,3,0.7%,0.8%
2014.02.28EURCore CPI Flash Estimate y y,2/28/14 10:00,FALSE,Core CPI Flash Estimate y/y,EUR,2," ",0.8%
2014.02.28EURItalian Prelim CPI m m,2/28/14 10:00,FALSE,Italian Prelim CPI m/m,EUR,1,0.5%,0.2%
2014.02.28EURUnemployment Rate,2/28/14 10:00,FALSE,Unemployment Rate,EUR,2,12.0%,12.0%
2014.02.28USDFOMC Member Fisher Speaks,2/28/14 10:00,FALSE,FOMC Member Fisher Speaks,USD,2," "," "
2014.02.28CADGDP m m,2/28/14 13:30,FALSE,GDP m/m,CAD,3,-0.2%,0.2%
2014.02.28USDPrelim GDP Price Index q q,2/28/14 13:30,FALSE,Prelim GDP Price Index q/q,USD,1,1.3%,1.3%
2014.02.28USDPrelim GDP q q,2/28/14 13:30,FALSE,Prelim GDP q/q,USD,3,2.6%,3.2%
2014.02.28USDChicago PMI,2/28/14 14:45,FALSE,Chicago PMI,USD,3,57.9,59.6
2014.02.28USDRevised UoM Consumer Sentiment,2/28/14 14:55,FALSE,Revised UoM Consumer Sentiment,USD,2,81.4,81.2
2014.02.28USDRevised UoM Inflation Expectations,2/28/14 14:55,FALSE,Revised UoM Inflation Expectations,USD,1," ",3.3%
2014.02.28USDPending Home Sales m m,2/28/14 15:00,FALSE,Pending Home Sales m/m,USD,3,2.9%,-5.8%
2014.02.28USDFOMC Member Kocherlakota Speaks,2/28/14 15:15,FALSE,FOMC Member Kocherlakota Speaks,USD,2," "," "
2014.02.28USDFOMC Member Stein Speaks,2/28/14 15:15,FALSE,FOMC Member Stein Speaks,USD,2," "," "
2014.02.28GBPBOE Gov Carney Speaks,2/28/14 15:30,FALSE,BOE Gov Carney Speaks,GBP,3," "," "

